votos,financ,idade,n_part,fpart,votos_t1
171401.86,5873.1719,38,2,.15604068,6494.4067
158654.41,4094.9897,35,3,.339353,2009.4513
162993.48,1965.6025,43,0,.054982986,33405.102
144799.14,9926.9561,44,1,.57985318,8183.0132
183170.05,4910.3721,45,2,.15509167,59232.547
186018.27,41444.707,43,2,.19595373,41686.582
324649.03,2726.0884,58,2,.091162466,27833.148
209332.52,5362.9604,54,4,.18247673,3071.7559
268813.06,702.27155,49,1,.071372986,101297.4
173677.3,8454.3262,47,2,.25534722,19322.285
241663.42,4251.8784,51,3,.41519296,58449.492
257139.06,20094.953,41,3,.12317292,78727.906
225239.28,20827.801,43,2,.13158195,19913.623
208153.78,115.14045,49,2,.16468182,39240.375
319854.31,16760.926,52,3,.12762555,23714.111
316512.34,6084.5908,45,2,.23868524,158889.97
256103.91,2031.5004,51,2,.27211305,28873.725
221926.5,12122.977,51,1,.13255858,35414.891
254596.95,19598.836,55,2,.32147634,3297.78
195011.78,10671.49,43,3,.02615004,5759.3789
174378.44,637.19598,41,3,.24040557,12149.122
145772.98,16223.87,46,3,.48803896,25934.406
227807.69,4226.4697,56,3,.063399538,40925.219
147563.38,5165.8325,39,4,.37757799,9231.5342
218062.7,17417.537,45,2,.1133929,9114.1748
169783.36,3408.3467,43,1,.3261472,15961.16
170553.03,8809.9014,48,0,.26869994,11478.688
273083.84,248.89383,51,2,.1612563,8463.7627
295567.84,4816.7197,48,3,.11179188,100781.01
151148.38,3200.8582,46,1,.48062328,8605.0068
206677.94,2011.7838,35,4,.056501996,56951.379
175722.33,616.92828,44,2,.079495959,22493.545
194927.81,46156.441,30,2,.24347948,13654.434
253028.95,3129.0063,44,1,.11101452,38733.273
195945.44,1896.4731,38,3,.096912645,23023.406
233619.11,3354.5955,53,2,.15347284,42060.965
147264.83,3384.2607,36,3,.46933743,42597.934
217285.55,19225.363,51,2,.10140083,28966.742
207737.34,11140.547,50,3,.43375862,2337.6233
230026,31474.371,39,2,.11634494,47720.914
270338,3978.4524,61,1,.13383469,43370.883
232594.84,1916.2458,43,4,.24508715,54370.887
142419.91,9290.0068,38,4,.17081788,1048.2202
241217.22,20587.654,46,0,.0996034,42278.258
203313.8,436.57233,58,2,.20805356,10364.993
124504.04,62340.313,45,3,.51457459,5105.9077
254377.58,1903.4489,40,2,.17441595,21724.281
141203.77,7466.1587,42,3,.10057051,10714.585
200470.89,52654.676,40,3,.21866311,19210.42
193395.53,4560.0693,48,0,.14687808,20938.201
218250.39,5509.998,56,1,.33359826,13339.257
261131.78,14683.472,47,0,.18040551,61287.113
179132.27,2630.8621,40,2,.14596136,25124.98
134048.38,21806.084,30,4,.10393974,25051.496
176238.8,38708.148,39,2,.073176198,18999.146
325400.91,5367.9409,46,2,.36634836,113438.02
202632.39,43636.105,40,5,.10066406,26655.197
215793.39,8384.8828,38,3,.32505023,49586.543
229726.3,28266.662,44,2,.15938377,10207.938
286717.63,13850.232,48,1,.27624327,43037.418
232239.42,4800.9097,44,3,.20447074,25779.297
219541.47,16362.142,47,1,.29184273,31339.055
222292.5,766.76447,43,3,.25326273,27371.762
194855.67,12625.277,46,1,.24548084,1022.1378
201654.27,31649.393,36,2,.1042347,31411.57
159654.75,4567.4614,34,2,.36509395,41612.332
248163.05,9538.4092,57,3,.24811587,37073.129
201398.28,1469.4125,42,4,.47526571,5376.7954
290056.19,28551.32,40,2,.10001926,91049.594
154358.97,61.326069,41,3,.23051514,7040.3682
265054.13,8458.0977,53,2,.16413121,43856.137
191929.44,14255.432,56,2,.099465355,6674.8345
271103.28,15194.855,41,1,.24884385,79697.57
365976.38,13743.487,54,1,.12291998,72260.008
322661.47,8131.3711,57,1,.29000127,85374.109
261353.48,4371.979,49,1,.28300509,65978.656
169772.52,49835.328,46,3,.2628586,41860.695
235203.59,6710.709,47,3,.11882924,31223.213
188444.81,6597.3687,45,1,.041898299,11987.024
260529.39,16711.744,36,1,.17790653,89494.227
265727.44,11845.05,52,2,.050194629,33549.695
140130.38,1035.3405,45,2,.1385715,15081.687
291861.94,17682.334,41,1,.037668407,95914.055
220845.67,14261.902,48,1,.24156867,17404.473
287299.28,186.39011,43,0,.033683594,43991.844
270175.66,668.55371,55,6,.19999155,32942.375
235871.56,3723.6296,57,1,.24560666,35426.512
133379.36,16718.135,37,1,.23004678,10780.465
240757.16,4372.6592,44,1,.094544366,31368.516
262150.63,1512.9,42,2,.073030315,112205.26
121449.88,3336.6543,41,3,.060660724,1091.1973
266516.88,8766.4336,39,0,.17663558,81612.383
185853.61,10691.869,47,4,.50010324,39688.039
190058.34,15333.036,42,3,.43882844,27660.244
259677.8,5573.7705,37,2,.13149613,86854.516
202265.19,8044.6694,44,2,.053708024,27254.676
179374.33,19656.342,54,4,.31077674,5254.7358
317895.59,2670.6655,58,1,.129476,73934.273
194082.86,1538.4924,45,0,.14154586,52486.824
216859.19,2017.2162,44,1,.10988635,19267.725
137823.55,283.2951,32,1,.052982617,7965.1328
213293.92,1309.4296,42,2,.33578482,10759.505
124463.08,22510.135,30,1,.15496406,10514.42
304527.88,12472.165,45,3,.093848698,74874.852
221595.95,26129.168,38,2,.22824369,59320.789
234019.52,11608.031,47,0,.22551778,11244.134
298023.59,2789.0769,53,2,.35863131,48867.793
228219.53,28092.211,35,1,.12157467,65455.172
139447.05,22541.285,42,4,.39241874,12856.114
146133.42,33543.172,36,2,.17924124,37383.457
238736.89,5262.8418,42,3,.58562618,8659.5732
300736.34,7401.7881,59,2,.1218636,21662.852
164369.19,4411.3447,48,2,.1388036,12813.494
105893.17,543.83313,37,0,.38336989,1931.0261
200500,2884.3743,43,3,.046957862,18426.379
89624.367,886.56415,28,2,.28519416,3105.0881
249410.44,1402.4127,52,2,.12208377,26084.951
206275.39,18172.771,37,0,.2325618,30526.295
187564.48,17746.92,42,2,.2372472,5772.8813
244445.77,5962.3081,43,1,.39856595,33481.992
263062.81,2240.9617,45,1,.082596034,75995.734
268339.31,4528.2661,39,1,.12934317,53483.789
199132.7,7807.0332,46,4,.20490727,5835.7549
144453.3,7623.2505,44,2,.31551737,27300.467
214580.23,28323.5,49,1,.14964934,7349.8789
131504.28,12462.933,37,1,.31469703,5562.002
286752.16,10392.747,44,1,.17491803,35752.102
166355.52,658.64929,49,1,.36662835,22701.072
164716.52,1894.3135,46,0,.062676862,10052.71
298307.75,4109.4897,48,3,.09427131,84344.828
191350.52,6553.7695,51,4,.10011941,3004.25
267283.53,19573.408,45,2,.100618,53737.598
189035.84,241.92059,48,1,.03485303,49915.066
142413.78,23222.916,50,5,.11424474,5039.4106
166579.98,10023.703,37,2,.19279402,15779.858
179076.91,22131.598,42,1,.057648797,18942.908
228739.91,16359.921,41,3,.075403728,11733.731
206977.59,1073.4803,47,4,.064414285,18207.51
247486.36,7943.7861,50,1,.26285896,19906.439
151619.27,946.08356,42,3,.23592356,478.81406
138900.17,1924.6884,37,4,.35713708,12455.062
121219.48,3647.4204,28,3,.2044017,50384.785
205822.39,920.20599,45,1,.11798187,12252.076
134085.48,8160.4258,35,0,.15169875,22500.953
209747.41,6776.4243,51,1,.19869643,10308.159
269165.28,3659.7693,53,0,.33280256,25360.654
251387.53,3738.3547,55,4,.18957967,2061.6926
268626,3036.2156,55,3,.079999074,46339.27
162822.95,3527.6716,35,3,.23218215,5940.9912
268122.84,4804.2939,45,1,.027302084,7960.73
165692,42826.102,40,0,.16376305,10812.245
205858,8414.2256,48,1,.089313537,37648.656
223678.78,193.64513,48,1,.29052725,39678.469
231098.5,4181.3218,45,4,.039614365,32799.82
179040.98,3366.4395,51,2,.14613119,18548.328
193140.31,19072.201,55,1,.22069882,17487.045
199284.5,7890.8462,35,0,.046411235,62549.559
225724.63,17297.238,49,2,.34838539,49565.43
227496.03,5677.6924,56,0,.40246752,12079.912
223114.91,15588.523,36,2,.17984551,103652.16
182890.38,14576.436,47,2,.50084084,8097.3057
113950.23,2410.0459,29,1,.089935236,28111.479
150963.63,28011.65,47,0,.2695694,5421.522
164932.28,5373.7148,45,1,.025696071,4356.0767
202078.11,1122.392,45,2,.28738871,413.37766
228728.14,692.49408,45,4,.20121637,55416.215
213321.06,22628.457,45,3,.4052527,9436.376
281815.22,1915.4087,41,2,.2837967,40556.336
255754.03,8117.873,41,1,.023596765,68176.203
217718.84,4592.6196,43,3,.31247947,33310.758
321661.91,12042.033,57,5,.062971778,55546.484
224421.34,28710.521,46,3,.17465127,22056.748
233459.34,5250.7217,47,2,.06100088,38474.574
315182.69,8841.2227,49,3,.12135081,66813.07
135627.44,4504.7017,43,3,.22315018,1386.5487
241541.16,19713.049,42,1,.37428099,49767.371
199014.06,107.75031,43,1,.27215424,6716.5474
217576.23,1622.5393,52,2,.088550486,13755.482
214025.7,16586.176,58,1,.15549588,18367.996
207659.92,6856.7783,48,4,.35830069,34450.676
219232.2,10775.319,51,3,.088473409,130.38014
163334.31,25081.391,50,1,.39519706,2212.0022
200093.81,1837.1785,51,2,.30741134,3338.9907
161200,9087.7471,38,2,.12594402,10789.794
227657.22,21922.266,40,2,.54559469,24798.656
223960.3,1833.9484,46,3,.22925062,58664.207
147140.33,27371.646,42,1,.59295249,14769.789
245977.3,34033.27,55,2,.16762787,6763.5537
193064.59,12616.117,42,2,.057532225,17808.141
154454.45,30539.916,38,7,.09452527,4320.916
200853.41,2603.1743,35,1,.1846921,69570.563
262709.84,3116.155,46,4,.15312369,36025.859
191416.5,734.20447,38,2,.020425424,25997.383
152728.22,38113.785,41,6,.22470458,11817.098
257347.06,2762.6965,44,3,.49873218,51688.781
157419.33,831.79968,38,4,.03984851,13225.571
178190.02,9619.6855,53,1,.2803373,6282.2212
212775.44,14079.072,51,1,.071682252,23793.139
250168.31,18344.098,49,1,.23196323,11233.13
230836.09,196.01346,51,5,.052706905,32271.883
222328.39,11570.852,52,2,.10902078,8979.9297
185180.06,1319.4548,51,0,.044855226,10310.074
172340.64,465.4039,44,4,.11535051,11131.646
143070.64,10458.361,38,5,.1647343,30994.629
203463.56,2155.3394,54,2,.38018236,9006.3223
149009.5,226.48509,50,2,.035348564,1438.4358
168739.17,1719.6327,44,1,.26714385,9628.4277
324614.09,4047.9192,52,2,.28849646,49870.063
243169.81,20304.203,52,0,.16927648,3923.9333
221627.67,2895.4402,41,3,.25892505,20175.811
221504.14,7897.3682,54,0,.15242511,2553.7246
169160.02,1817.1024,40,5,.20066471,1589.2731
192344.25,4541.6538,50,1,.24544823,6655.7026
172230.08,11451.347,43,3,.012889704,18618.047
239142.56,8011.5845,50,1,.43453419,14056.742
259956.56,639.17926,50,0,.091392405,80360.219
313069.88,348.31073,45,2,.080819048,103367.73
116037.63,20530.76,34,4,.021542588,30010.637
350289.78,3094.1418,43,1,.39975962,110416.94
280325.34,1993.2838,43,2,.068805873,40328.195
172020.8,8737.9004,40,2,.16755527,37296.504
167060.64,3838.719,37,0,.10093628,5072.3633
344782.59,2609.5276,37,1,.27436948,110391.73
242249.91,12079.59,45,1,.14799897,14565.667
214235.61,4601.1509,47,0,.35507736,19190.598
292428.72,25729.176,48,2,.077305391,93273.375
306080.53,14203.679,59,0,.49248382,8129.3335
275890.81,11492.605,39,3,.24892427,81972.578
181661.61,748.01123,38,1,.24487913,470.16757
222532.95,9714.0898,50,1,.42790067,9862.5059
205703.25,8019.5483,42,0,.22714493,33414.027
312934.69,5977.0562,59,2,.24489599,61839.859
250765.14,7998.0444,43,0,.13366313,47392.449
268619.75,6797.8604,38,1,.086736366,50393.191
260107.41,8353.8945,46,3,.093500704,56257.133
297373.31,4977.2505,41,1,.029539336,67053.461
132455.28,13548.241,49,3,.13951904,5604.4683
234656.92,49527.555,48,3,.22984277,866.38794
176176.34,2435.323,41,0,.38745716,22410.701
266810.63,7051.0801,43,1,.4454622,55268.852
254082.72,7263.2734,47,2,.48370659,68656.305
172543.23,8157.3076,41,3,.30682266,2720.8242
142867.56,380.72931,46,2,.16571881,13162.101
208860,6101.3359,33,5,.16730104,53077.473
261039.03,3194.7871,43,1,.15492356,60343.457
198114.3,12439.348,53,5,.20922384,257.1861
192973.02,5521.2432,45,2,.18738182,47356.691
248048.33,16311.318,57,0,.1623566,4662.0947
152851.03,439.45059,44,0,.24196848,5952.7778
266293.38,626.04407,46,0,.096699692,16506.434
241129.8,1967.4257,46,0,.15153046,34498.891
251012.95,707.80634,43,4,.046313368,22334.65
242401.81,18628.602,39,1,.041867722,82871.281
161715.09,8611.6123,40,2,.1593255,11201.34
217071.72,5704.4365,40,0,.21004242,30729.664
243550.81,5708.5713,44,3,.11330415,54994.59
195616.8,10019.789,42,3,.2152971,15679.812
232292.23,33129.941,53,5,.2127337,48967.301
226199.61,4705.0972,44,1,.27343813,36212.309
248186.14,15916.537,48,2,.28539979,40838.578
220810.09,2312.7634,37,3,.11046457,46557.871
324501.72,6325.8198,39,3,.031292368,106673.84
184837.2,2138.0999,51,0,.13078646,1957.2396
219087.67,2971.4099,57,0,.088420056,10458.644
250461.44,4009.7583,40,0,.46002948,14208.198
171793.67,4433.4106,43,2,.14150217,2051.5693
96966.977,10277.748,31,0,.24246091,13113.024
194217,32.13979,41,0,.2129299,61735.926
226469.47,296.4765,44,3,.18245029,58256.609
221298.17,24603.416,50,3,.18564527,27533.244
202752.89,2964.7485,47,0,.085191838,18925.43
192907.64,16274.956,39,1,.33489352,23604.053
107968.44,26091.676,35,1,.17090608,17041.559
171517.16,3053.7573,45,2,.11510912,47389.551
129602.06,7520.4492,52,1,.036343426,15829.022
277219.09,14094.28,40,1,.0076211859,27385.016
165409.11,2193.3682,44,2,.2935718,10282.132
180725.42,4275.6772,42,0,.31212443,7836.6055
155639.23,1691.5092,39,0,.061372254,5827.6807
125079.23,12426.97,35,2,.3302356,6317.583
216992.63,2214.0916,38,4,.11554786,15117.826
118143.35,17226.17,33,7,.026129743,12515.467
247464.02,11443.464,49,0,.091984071,52374.48
301876.72,1335.745,46,0,.2272204,79813.57
189278.72,3679.4697,45,3,.33074841,7648.6816
288358.28,9964.3594,59,0,.13342011,55488.094
270327.44,3953.1526,43,1,.44688752,38677.449
158199.75,5660.4399,43,0,.27970204,24077.756
255707.48,7340.4028,40,0,.31890047,21318.521
253397.66,27113.012,48,0,.28787389,47215.945
257345.23,17771.074,35,4,.22669269,79580.672
231478.81,1025.2306,48,2,.087074906,59293.082
328253.19,682.79498,48,1,.52812958,74110.055
191166.11,3752.981,29,3,.09390337,26903.248
212832.8,3001.3149,44,0,.20084777,40762.875
220545.61,1701.4469,46,1,.15887071,4558.8662
169263.58,11429.77,44,2,.3294521,3428.8481
139440.23,22342.703,36,2,.10385215,23009.643
136916.3,3859.1868,44,0,.17992917,16883.449
376544.19,14903.127,55,3,.1360686,95815.664
236210.91,3013.363,47,7,.31065294,30955.867
167031.7,1551.3326,47,2,.32696056,19548.592
130815.07,5148.5161,45,3,.1501331,6086.9502
201200.92,5590.4272,43,1,.27221006,2405.4561
311723.75,1024.0193,50,1,.047137517,45616.887
270448.03,15741.869,52,3,.090811469,43265.273
191732.63,18433.355,50,3,.16449128,8114.7324
255507.14,9373.0781,56,1,.18041825,34712.605
278051.28,10523.217,50,0,.16722871,88603.891
266919.94,1614.2903,45,2,.20072807,38023.707
321287.59,16140.749,36,3,.32419896,171484.41
204268.39,7594.2417,51,1,.08421275,27411.154
171738.33,8306.7754,37,0,.15367316,10783.754
224463.75,3138.7717,50,2,.061092731,4370.1104
195004.63,10583.34,45,3,.2176473,11559.876
150624.2,19167.5,38,2,.11805261,7146.0356
298798.84,15081.075,62,1,.22112109,14935.051
246468,4140.2227,47,3,.45919538,47271.621
231583.23,2511.342,41,0,.31544879,9415.3203
187971.38,2654.1328,42,2,.077728055,4651.792
296081,2285.7654,44,3,.29626304,130836.73
145883.3,2785.833,49,1,.28297293,5406.6143
275944.38,3799.478,54,0,.18611769,32098.623
113715.45,5026.1074,33,1,.034030367,14890.715
212187.78,12141.472,39,0,.13061459,1767.8966
176049.59,9692.792,51,5,.12408071,29196.139
157340.09,9846.832,37,1,.21553196,35384.184
137122.73,11596.355,48,2,.19277088,11858.64
246132.92,538.65448,55,3,.24356061,16896.955
166991.34,24659.053,36,3,.065409683,53357.387
113913.23,3199.2244,44,3,.12598105,5483.2061
266773.19,14173.89,48,1,.20442414,23622.242
249482.19,8572.4141,49,3,.060063794,49326.16
408145.53,17179.422,59,0,.2362587,141780.06
252645.44,6179.2407,45,0,.20794606,66657.531
281728.59,5423.5972,42,1,.035983168,22538.113
253646.05,3352.6125,44,4,.37068713,58378.234
147882.86,30147.783,40,4,.32978263,17584.043
241602.14,1617.8384,47,2,.18165745,33740.285
253254.17,22441.424,62,1,.38544613,33447.852
241328.11,12153.828,43,1,.13216558,20030.867
346536.78,11515.146,43,4,.30096886,199078.77
91072.039,16558.957,48,4,.32489365,1603.7717
134716.98,7303.7959,36,0,.15768485,16729.453
190366.06,3562.5996,51,3,.088181719,19905.326
204338.39,7269.9805,45,1,.096522465,26520.971
277775.47,2090.5217,40,1,.14029038,89721.75
222576.27,30359.379,36,2,.12305055,55077.855
171382.19,33947.445,49,0,.15156513,26529.34
216059.38,19416.117,54,1,.066998288,16982.695
152097.28,14705.797,44,1,.21024282,7380.0566
285124.25,2765.0208,49,3,.052568369,67863.281
261620.48,2341.8599,52,0,.079773441,12542.522
266243.81,8722.3604,50,1,.24774861,34245.863
232775.77,386.25793,40,0,.23014028,56609.586
176772.61,15647.17,35,2,.30390584,35154.289
245177.2,943.58221,50,2,.10652487,1850.7981
336828.34,34449.605,55,5,.51934952,20540.922
198182.61,22065.732,50,3,.16511771,2333.0972
169288.28,19232.328,47,3,.19549105,19862.201
143972.47,2844.8142,44,2,.47947878,2158.927
219710.53,2174.4192,35,3,.29735079,74774.617
246302.75,2960.9509,32,2,.30060279,81176.672
194395.06,2342.3357,42,2,.084856361,6001.2246
254371.73,25774.734,34,4,.38231668,60653.281
211771.66,3485.2703,41,3,.36712292,4224.5835
220749.13,12476.521,56,2,.31760025,12388.426
284645.22,15016.995,51,3,.090454727,40350.508
128757.88,27465.588,44,1,.15430461,4540.6348
188198.94,13551.956,47,4,.19948746,27793.205
371595.69,26281.838,61,2,.29991609,32218.248
190242.58,8935.4834,49,2,.095591508,36565.883
186908.92,127.81596,48,5,.1330861,40796.48
182842.42,45987.207,54,3,.35953566,11311.948
184603.78,2444.2927,45,1,.19732942,11250.987
172504.31,35012.66,47,1,.20924518,1894.8875
235012.19,25628.242,53,1,.2476878,32957.031
218397.28,1552.3762,48,1,.24205068,20732.439
280084.78,7107.3916,37,1,.24010573,95182.688
236198.97,10348.158,55,1,.13881287,7546.8481
168128.08,6663.0215,37,1,.28486997,10082.648
210806.95,10857.463,58,1,.15639581,38878.34
259034.47,8426.043,47,2,.10458401,47579.547
239191.22,44916.414,48,5,.25846857,65150.199
167552.39,17885.299,47,4,.1310125,2588.0779
240908.52,555.92236,45,0,.076250583,39771.156
240875.56,3203.8987,46,0,.17895481,4759.7183
286276.06,9609.3721,49,0,.21592364,32986.297
191006.2,7486.9727,36,4,.15410145,12545.593
141590.25,6543.9443,37,0,.079622246,350.44717
215972.5,38690.148,49,3,.15012667,70412.836
180474.66,12734.653,41,1,.13514484,27029.031
252348.2,17033.158,56,1,.23664548,853.32288
169410.84,2200.0029,42,0,.14975391,7228.7866
196134.5,47.382687,49,1,.07775028,27935.35
133451.75,17755.545,38,3,.26500523,2419.4846
240156.42,7381.7378,48,3,.018032741,25226.443
190367.41,1058.0801,39,1,.12184982,8353.499
212083.48,7858.8677,36,5,.21972533,99531.469
121528.86,10383.831,38,3,.54830474,7253.9561
272113.69,11948.179,40,3,.18129802,70259.406
190563.81,13066.834,44,3,.38509592,5764.0542
241264.38,13490.226,54,4,.18390109,29515.598
298789.44,572.63538,54,2,.29700366,23367.766
122860.48,3378.1389,28,4,.096402653,8093.3364
166515.16,3521.5183,41,0,.42170709,4593.1577
180946.13,20421.76,46,2,.17213032,3315.3796
267094.34,11484.472,46,2,.28315979,37330.785
172690.39,12544.298,41,4,.10325316,3788.7847
133273.45,24630.969,43,5,.15685697,13749.575
154633.52,231.40869,36,2,.19084957,9401.7373
190559.84,2.8923669,42,1,.08759059,15189.839
216147.47,5758.9761,47,0,.23313417,5219.7178
241421.31,5991.1606,51,2,.10990676,9826.2051
138131.28,3506.5535,42,0,.22146931,12444.275
173994.94,32019.752,50,2,.065106228,2407.3093
192881.94,14073.343,48,1,.50658685,26920.445
211185.27,17046.973,44,2,.16173899,32299.516
197880.5,20658.021,45,1,.12809238,9362.7061
176439.39,3925.9541,54,1,.050081324,5586.1494
145621.84,3564.7668,47,0,.14557834,4311.0142
231790.55,20602.979,39,0,.33926678,68261.688
177463.86,4746.5186,38,1,.57213449,50201.613
243835.09,16179.789,53,2,.18911073,22234.941
382209.03,1218.796,51,1,.39521891,140928.47
153234.8,2214.6902,35,5,.14238246,439.35745
247970.95,29599.256,43,1,.53201222,43923.816
